CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,
N,,3/31/2026,,1.09,4/8/2025,1.09,2/27/2025,1.08,1/30/2025,1.04,1/16/2025,1.05,12/8/2024,1.05,10/31/2024,1.04,9/15/2024,1.06,8/3/2024,0.95,6/29/2024,0.96,6/21/2024,0.87,,,,
,,12/31/2025,,1.05,,1.05,,1.05,,1.02,,1.02,,1.01,,0.99,,1,,0.91,,0.91,,0.82,,0.79,,0.7725
,,9/30/2025,,0.92,,0.92,,0.92,,0.9,,0.91,,0.9,,0.87,,0.87,,0.77,,0.77,,0.74,,0.72,,0.7725
,,6/28/2025,,0.97,,0.97,,0.97,,0.95,,0.95,,0.94,,0.92,,0.91,,0.73,,0.73,,0.76,,0.74,,0.7725
,,3/31/2025,,0.92,6/29/2024,0.92,6/29/2024,0.92,6/29/2024,0.87,6/29/2024,0.88,6/29/2024,0.88,6/29/2024,0.88,6/29/2024,0.93,6/29/2024,0.95,6/29/2024,0.96,6/21/2024,0.87,,,,
,1/28/2025,12/31/2024,0.24,0.94,,0.87,,0.88,,0.87,,0.84,,0.87,,0.91,,0.91,,0.82,,0.79,,0.7725,,,,
,10/29/2024,9/30/2024,0.35,0.83,,0.76,,0.77,,0.77,,0.77,,0.74,,0.72,,0.7725,,,,,,,,,,
,7/30/2024,6/28/2024,0.41,0.85,,0.73,,0.73,,0.76,,0.74,,0.7725,,,,,,,,,,,,,,
,4/30/2024,3/28/2024,2.807845582,0.79,,0.73,,0.74,,0.75,,0.76,,0.7625,,,,,,,,,,,,,,
,1/30/2024,12/29/2023,0.381704949,0.78,,0.73,,0.72,,0.73,,0.7625,,,,,,,,,,,,,,,,
,10/31/2023,9/29/2023,0.28951295,0.7,,0.64,,0.63,,0.7625,,,,,,,,,,,,,,,,,,
,8/1/2023,6/30/2023,0.280155642,0.72,,0.64,,0.7625,,,,,,,,,,,,,,,,,,,,
,5/2/2023,3/31/2023,-0.978913968,0.73,,0.62,,0.74,,0.85,,,,,,,,,,,,,,,,,,
,1/31/2023,12/30/2022,-0.006709608,0.62,,0.65,,0.7,,0.79,,0.86,,,,,,,,,,,,,,,,
,11/1/2022,9/30/2022,0.098814229,0.57,,0.5,,0.62,,0.72,,,,,,,,,,,,,,,,,,
,7/26/2022,6/30/2022,0.076550747,0.64,,0.63,,0.58,,0.66,,,,,,,,,,,,,,,,,,
,5/3/2022,3/31/2022,0.17452007,0.75,,0.64,,0.58,,0.7,,0.55,,0.52,,,,,,,,,,,,,,
,1/25/2022,12/31/2021,0.214216914,0.67,,0.65,,0.71,,0.53,,0.5,,0.43,,,,,,,,,,,,,,
,10/26/2021,9/30/2021,0.035715036,0.48,,0.57,,0.58,,0.48,,0.41,,0.43,,,,,,,,,,,,,,
,7/27/2021,6/30/2021,0.288579318,0.62,,0.52,,0.44,,0.38,,0.34,,,,,,,,,,,,,,,,
,5/4/2021,3/31/2021,0.129443189,0.59,,0.48,,0.46,,0.42,,0.27,,0.47,,0.5,,0.52,,0.5,,0.675,,,,,,
,1/27/2021,12/31/2020,0.03484473,0.57,,0.47,,0.42,,0.37,,0.45,,0.46,,0.43,,0.6,,,,,,,,,,
,10/27/2020,9/30/2020,-0.885716743,0.45,,0.35,,0.34,,0.37,,0.4,,0.41,,0.36,,0.4375,,,,,,,,,,
,7/28/2020,6/30/2020,0.049459175,0.51,,0.16,,0.26,,0.29,,0.32,,0.33,,0.3875,,,,,,,,,,,,
,,3/31/2020,0.190504731,,,0.38,,0.39,,0.45,,0.43,,0.54,,0.72,,0.7,,0.63,,,,,,,,
,,12/31/2019,-0.014121839,,,0.41,,0.35,,0.48,,0.66,,0.61,,0.55,,,,,,,,,,,,
,,9/30/2019,-0.156459129,,,0.28,,0.35,,0.54,,0.5,,0.42,,0.31,,,,,,,,,,,,
,,6/28/2019,-0.150623749,,,0.31,,0.51,,0.47,,0.39,,0.53,,,,,,,,,,,,,,
,,3/29/2019,-0.047123156,,,0.53,,0.52,,0.47,,0.5,,0.45,,,,,,,,,,,,,,
,,12/31/2018,0.282957113,,,0.42,,0.41,,,,,,,,,,,,,,,,,,,,
,,9/28/2018,0.018640947,,,0.37,,0.3,,0.31,,0.32,,0.27,,,,,,,,,,,,,,
,,6/29/2018,-0.188492849,,,0.27,,0.29,,0.28,,0.29,,0.33,,,,,,,,,,,,,,
,,3/29/2018,-0.03695628,,,0.33,,0.36,,0.4,,0.37,,,,,,,,,,,,,,,,
,,12/29/2017,-1.301472699,,,0.31,,0.35,,0.33,,0.32,,,,,,,,,,,,,,,,
,,9/29/2017,-0.022150094,,,0.26,,0.24,,0.25,,0.26,,,,,,,,,,,,,,,,
,,6/30/2017,-0.00629321,,,0.19,,0.2,,0.22,,0.26,,,,,,,,,,,,,,,,
,,3/31/2017,0.068372402,,,0.26,,0.27,,0.28,,0.3,,,,,,,,,,,,,,,,
,,12/30/2016,-0.000931285,,,0.26,,0.27,,0.26,,0.28,,0.29,,0.3,,0.49,,,,,,,,,,
,,9/30/2016,-0.012604005,,,0.2,,0.18,,0.19,,0.23,,0.45,,,,,,,,,,,,,,
,,6/30/2016,-0.046198355,,,0.17,,0.21,,0.22,,0.38,,,,,,,,,,,,,,,,
,,3/31/2016,0.126542468,,,0.25,,0.27,,0.28,,0.35,,,,,,,,,,,,,,,,
,,12/31/2015,0.104729802,,,0.2,,0.21,,0.23,,0.39,,0.42,,0.46,,0.47,,0.63,,0.61,,,,,,
,,9/30/2015,-0.203270462,,,0.13,,0.12,,0.14,,0.29,,0.36,,0.41,,0.55,,0.56,,,,,,,,
,,6/30/2015,-0.028707077,,,0.24,,0.33,,0.41,,0.51,,,,,,,,,,,,,,,,
,,3/31/2015,0.071891219,,,0.31,,0.32,,0.4,,0.41,,0.6,,0.61,,0.59,,0.39,,,,,,,,
,,12/31/2014,0.065416383,,,0.35,,0.36,,0.55,,0.56,,0.51,,0.5,,0.51,,0.5,,0.49,,0.28,,,,
,,9/30/2014,0.137726328,,,0.45,,0.47,,0.52,,0.51,,0.5,,0.49,,0.47,,0.46,,0.2,,,,,,
,,6/30/2014,0.265879896,,,0.41,,0.45,,0.44,,0.43,,0.44,,0.43,,0.29,,,,,,,,,,
,,3/31/2014,0.316840699,,,0.47,,0.46,,0.47,,0.31,,,,,,,,,,,,,,,,
,,12/31/2013,0.352532115,,,0.44,,0.3,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.348859182,,,0.4,,0.39,,0.24,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.273123821,,,0.35,,0.34,,0.33,,0.22,,,,,,,,,,,,,,,,
,,3/28/2013,0.345806951,,,0.34,,0.33,,0.32,,0.23,,,,,,,,,,,,,,,,
,,12/31/2012,0.251214892,,,0.32,,0.21,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.29068284,,,0.28,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.212790551,,,0.15,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.207680945,,,0.17,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.15302088,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.168512,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.148916815,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.10442539,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.156939124,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.118575086,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.075881817,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.129092444,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.119599868,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,0.105559906,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.055639338,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.005430214,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,0.090159747,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,0.106274439,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.077523355,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.135429659,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.18,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,1.16,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,-4.9,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.13,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2005,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
